experiment,overall_mean_score,overall_std_score,overall_mean_ep_length,overall_std_ep_length
1e7CaCFokus,11934.58335,2201.696464587252,5645.226666666667,918.9544156133692
1e7Cropped,13150.916650390624,2712.232954676329,6129.16,917.2741756334092
1e7ScratchBaseline,12957.749951171874,3373.04614946521,6125.213333333333,1151.9343130278153
1e7ScratchFramestack1,9059.666650390624,3063.0537983546155,4639.266666666666,701.7790788813497
1e7ScratchFramestack2,12723.833349609376,2784.479482881872,6125.546666666667,840.118957361705
1e7ScratchFramestack6,13006.0,1583.1088995761609,6087.52,784.3579183000576
1e7ScratchNoClip,3792.583337402344,1085.307392527546,3232.28,651.6428968289722
1e7Standard,4873.999963378907,2745.814304271183,8387.386666666667,6331.196108847945
1e7StepPenalty,1859.333331298828,1722.8474610982184,1775.506666666667,462.2422775563631
1e7FireRemove,12270.000048828126,2717.562190670812,5888.7733333333335,1114.931469166725
